%  j(Acm-2)               V


0.032741970000000002 0.002440000000000000 
0.027621800000000002 0.039059999999999997 
0.024020720000000002 0.075679999999999997 
0.021101209999999999 0.112299999999999997 
0.018469919999999997 0.148930000000000007 
0.016184489999999999 0.185549999999999993 
0.014173719999999999 0.222170000000000006 
0.012335880000000000 0.258790000000000020 
0.010525169999999999 0.295410000000000006 
0.008836530000000000 0.332029999999999992 
0.007341170000000000 0.368649999999999978 
0.005964489999999999 0.405270000000000019 
0.004701740000000000 0.441890000000000005 
0.003469170000000000 0.478520000000000001 
0.002404790000000000 0.515140000000000042 
0.001503160000000000 0.551760000000000028 
0.000738860000000000 0.588380000000000014 
0.000077070000000000 0.625000000000000000 
