%  j(Acm-2)               V

0.027621800000000002 0.012882191429295416 
0.024020720000000002 0.060065014347437405 
0.021101209999999999 0.107049971931956672 
0.018469919999999997 0.152434406544159684 
0.016184489999999999 0.196258374305003203 
0.014173719999999999 0.239509988123455475 
0.012335880000000000 0.282584518930159234 
0.010525169999999999 0.323774912872821508 
0.008836530000000000 0.362944946815194291 
0.007341170000000000 0.400061753435229539 
0.005964489999999999 0.435587971913225347 
0.004701740000000000 0.467521555612381956 
0.003469170000000000 0.495473542575420589 
0.002404790000000000 0.520988160776452158 
0.001503160000000000 0.545184030131285802 
0.000738860000000000 0.571760959548790026 
0.000077070000000000 0.614057638585895904 
