%  j(Acm-2)               V

0.026282419999999997 0.050213723651729658 
0.024020720000000002 0.091534627147233649 
0.021925180000000002 0.128218445323551922 
0.020165340000000000 0.158077826701606333 
0.018469919999999997 0.186209049596686660 
0.016954210000000001 0.210969895127396001 
0.015519880000000002 0.234184722129657796 
0.014173719999999999 0.255892076683656822 
0.012898760000000000 0.276488728716491550 
0.011684840000000000 0.296246120071108454 
0.010525169999999999 0.315376902966743922 
0.009382460000000000 0.334619272248131150 
0.008392330000000000 0.351752936349166156 
0.007341170000000000 0.370609359142600181 
0.006449380000000000 0.387354713338907752 
0.005479599999999999 0.406663608024375345 
0.004701740000000000 0.423312937161279990 
0.003832330000000000 0.443709201919267160 
0.003154500000000000 0.461543486986370044 
0.002404790000000000 0.484398253152180380 
0.001829360000000000 0.505620070311437630 
0.001213580000000000 0.535026036636796820 
0.000738860000000000 0.567973856580243019 
0.000248070000000000 0.635184314433926200 
