%  j(Acm-2)               V

0.027621800000000002 0.014208355475242945 
0.024020720000000002 0.064591987420865318 
0.021101209999999999 0.106273121853133909 
0.018469919999999997 0.144747086835889771 
0.016184489999999999 0.179115837013701207 
0.014173719999999999 0.210336586218510507 
0.012335880000000000 0.239945208235317842 
0.010525169999999999 0.270469005002702989 
0.008836530000000000 0.300606869893502160 
0.007341170000000000 0.329210784420641556 
0.005964489999999999 0.357876163523983770 
0.004701740000000000 0.387166795497109695 
0.003469170000000000 0.420308733773171073 
0.002404790000000000 0.455524462481227577 
0.001503160000000000 0.495486958382118481 
0.000738860000000000 0.549187211473980530 
0.000077070000000000 0.700296186846625424 
